bout_id,date,time,ring,category,agecat,weightcat,phase,poule,red,red_country,blue,blue_country,red_points,blue_points,winner_corner,winner,loser,decision,status,result_source
b111,2026-09-10,17:48,3,Senior Women Assaut -70 kg,6,6,poule,A,HALILOU Haoua,Cameroon,KAABI Elissa,Tunisia,1,3,blue,KAABI Elissa,HALILOU Haoua,points,decided,reported
b112,2026-09-10,18:01,1,Senior Men Assaut -80 kg,5,9,poule,E,Jonathan Artback,Sweden,Alexander Kaltenbacher,Germany,3,1,red,Jonathan Artback,Alexander Kaltenbacher,points,decided,reported
b113,2026-09-10,18:01,2,Senior Men Assaut -60kg,5,4,poule,D,LAURENT Medhi,France,Howard Ríos,Colombia,3,1,red,LAURENT Medhi,Howard Ríos,points,decided,reported
b114,2026-09-10,18:01,3,Senior Women Assaut -48 kg,6,1,poule,A,Aicha Ouennas,Algeria,Lidia Abazovski,Serbia,1,3,blue,Lidia Abazovski,Aicha Ouennas,points,decided,reported
b115,2026-09-10,18:14,1,Senior Men Assaut -70 kg,5,6,poule,D,Tommaso Mari,Italy,CHAN WAI YIP,"Hong Kong, China",3,1,red,Tommaso Mari,CHAN WAI YIP,points,decided,reported
b116,2026-09-10,18:14,2,Senior Women Assaut -56 kg,6,3,poule,A,Bukovinszky Luca,Hungary,ELİF YALIM,Turkey,3,1,red,Bukovinszky Luca,ELİF YALIM,points,decided,reported
b117,2026-09-10,18:14,3,Senior Women Assaut -48 kg,6,1,poule,B,Taeko SESHITA,Japan,Mahdis Delghandi,Iran,1,3,blue,Mahdis Delghandi,Taeko SESHITA,points,decided,reported
b118,2026-09-11,08:30,1,Senior Women Assaut -56 kg,6,3,poule,C,Rumi UMEDA,Japan,LOBJEOIS Gwendoline,France,1,3,blue,LOBJEOIS Gwendoline,Rumi UMEDA,points,decided,reported
b119,2026-09-11,08:30,2,Senior Women Assaut -70 kg,6,6,poule,B,Soraya Bouzidi,Canada,Selvi Aleyna GILO,Turkey,3,1,red,Soraya Bouzidi,Selvi Aleyna GILO,points,decided,reported
b120,2026-09-11,08:30,3,Senior Women Assaut -65 kg,6,5,poule,A,KURNOSENKO SOFIIA,Ukraine,ZÜMRA KERİM,Turkey,3,1,red,KURNOSENKO SOFIIA,ZÜMRA KERİM,points,decided,reported
b121,2026-09-11,08:43,1,Senior Men Assaut -56 kg,5,3,poule,B,Li Yu Hung,Chinese Taipei,Liu KUBOTA,Japan,3,1,red,Li Yu Hung,Liu KUBOTA,points,decided,reported
b122,2026-09-11,08:43,2,Senior Women Assaut +75 kg,6,8,poule,A,POCHET Lohane,France,ASYA DİLA AKSOY,Turkey,3,1,red,POCHET Lohane,ASYA DİLA AKSOY,points,decided,reported
