date,time,ring,category,phase,red,blue,result,pending,winner_corner,red_points,blue_points,decision,agecat,weightcat,poule,seen_under
2026-09-11,10:40,2,Senior Women Assaut -52 kg,poule,Georlice Kelia Lollos,Mariko HARA,3-1,False,red,3,1,points,6,2,D,Italy
2026-09-11,10:40,3,Senior Women Assaut -65 kg,poule,Mahdiyeh Alizadeh,Elena ANTIPOVA,1-3,False,blue,1,3,points,6,5,D,Iran
2026-09-11,10:53,1,Senior Men Assaut -56 kg,poule,PECQUET BAPTISTE,CAVROT-WESTERLINCK Ethan,1-3,False,blue,1,3,points,5,3,C,Belgium
2026-09-11,10:53,2,Senior Women Assaut -52 kg,poule,LEMAYLLEUX NATHALIE,DELAPLESSE Arwen,1-3,False,blue,1,3,points,6,2,E,Belgium
2026-09-11,10:53,3,Senior Women Assaut -75 kg,poule,DJONDO Sara,Jelena Sedoglavić,1-3,False,blue,1,3,points,6,7,A,France
2026-09-11,11:06,1,Senior Women Assaut -60kg,poule,ROUSSY Noa,Anastasiia TSVETKOVA,3-1,False,red,3,1,points,6,4,A,France
2026-09-11,11:06,2,Senior Men Assaut -85 kg,poule,MASSAMBA MAR,BERKE YILMAZ,3-1,False,red,3,1,points,5,10,A,Senegal
2026-09-11,11:06,3,Senior Women Assaut -75 kg,poule,Emily COLAUTTI,AYBÜKE SUÇIKAR,1-3,False,blue,1,3,points,6,7,B,Slovenia
2026-09-11,11:19,1,Senior Women Assaut -60kg,poule,Arijana Otašević,EYLÜL KORKMAZ,3-1,False,red,3,1,points,6,4,B,Serbia
2026-09-11,11:19,2,Senior Men Assaut -65 kg,poule,DESARME Pierre-Ley,Matei Stefan,3-1,False,red,3,1,points,5,5,F,France
2026-09-11,11:19,3,Senior Men Assaut -80 kg,1/4,Grigorii DROGIN,Valentino Florjanić,3-1,False,red,3,1,points,,,,Croatia
2026-09-11,11:32,1,Senior Women Assaut -70 kg,poule,BUGADA Marine,KAABI Elissa,3-1,False,red,3,1,points,6,6,A,France
2026-09-11,11:32,2,Senior Women Assaut -52 kg,poule,Tóth-Csáki Fruzsina,Marianna ZACCARO,1-3,False,blue,1,3,points,6,2,A,Hungary
2026-09-11,11:32,3,Senior Men Assaut -80 kg,1/4,Silvio Fortunato,LACHENAL Edouard,1-3,False,blue,1,3,points,,,,Italy
2026-09-11,11:45,1,Senior Women Assaut -48 kg,poule,LAPAUW CLOE,Sarah Pierre,3-1,False,red,3,1,points,6,1,C,Belgium
2026-09-11,11:45,2,Senior Women Assaut -52 kg,poule,Louisa Furniss,Nadja Begojev,3-1,False,red,3,1,points,6,2,B,Great Britain
2026-09-11,11:45,3,Senior Men Assaut -80 kg,1/4,IDRISSA SAGNA,AmirReza Zarghani,3-1,False,red,3,1,points,,,,Iran
2026-09-11,11:58,1,Senior Women Assaut -70 kg,poule,MINET GWENAËLLE,HALILOU Haoua,3-1,False,red,3,1,points,6,6,A,Belgium
2026-09-11,11:58,2,Senior Women Assaut -52 kg,poule,Kira TOROPOVA,Salla Nordman,3-1,False,red,3,1,points,6,2,C,Finland
2026-09-11,11:58,3,Senior Men Assaut -80 kg,1/4,BIENVENU Jovan,James Antill,3-1,False,red,3,1,points,,,,France
